@relation someshit

@attribute Date numeric
@attribute Time numeric
@attribute IP_Address string
@attribute Port numeric
@attribute username string
@attribute Country string
@attribute City string
@attribute Longitude numeric
@attribute Latitude numeric

@data
2,16,"116.31.116.38",31490,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",18441,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"116.31.116.38",26457,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"221.194.47.211",40978,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"116.31.116.38",60527,"root","China","Shenzhen",114.13330000000002,22.533299999999997
2,16,"221.194.47.211",39947,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",41248,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",39307,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",38218,"root","China","Hebei",115.27499999999998,39.889700000000005
2,16,"221.194.47.211",40863,"root","China","Hebei",115.27499999999998,39.889700000000005
