DayOfWeek,TimeOfDay,ScaledTime,IP_Address,IP_AsRank,IP_AsAttackCount,IP_AsRandomInt,Port,PortNormalised,Uname,UName_AsRank,UName_AsCount,UName_AsRandomInt,Country,City,Loc_X,Loc_Y,Loc_Z
2,16,0.1464968152866242,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,60055,0.9058991511168486,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.14838405284265158,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,32951,0.3757579313852052,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15027129039867893,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,35414,0.4239330282048273,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15050719509318236,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,38172,0.47787818331181786,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15192262326020287,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,38584,0.4859367053945155,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.1521585279547063,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,39034,0.4947384892227047,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15357395612172683,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,36282,0.4409106912334233,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15380986081623024,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,41130,0.5357352423424481,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15546119367775418,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,37047,0.45587372374134494,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15569709837225762,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,39892,0.5115205570551187,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
